,stock_identity,name,enquiry_date,enquiry_topic,enquiry_title,exchange
0,000863.SZSE,三湘印象,2020-05-15 00:00:00,年报问询函,CDD00086357225.pdf,SZSE
1,000622.SZSE,恒立实业,2020-05-15 00:00:00,年报问询函,CDD00062257279.pdf,SZSE
2,000426.SZSE,兴业矿业,2020-05-13 00:00:00,年报问询函,CDD00042657183.pdf,SZSE
3,000506.SZSE,中润资源,2020-05-13 00:00:00,年报问询函,CDD00050657214.pdf,SZSE
4,000732.SZSE,泰禾集团,2020-05-12 00:00:00,关注函,CDD00073257248.pdf,SZSE
5,000010.SZSE,*ST美丽,2020-05-12 00:00:00,年报问询函,CDD00001057165.pdf,SZSE
6,000821.SZSE,京山轻机,2020-05-12 00:00:00,年报问询函,CDD00082157198.pdf,SZSE
7,000586.SZSE,汇源通信,2020-05-11 00:00:00,关注函,CDD00058657245.pdf,SZSE
8,000156.SZSE,华数传媒,2020-05-11 00:00:00,许可类重组问询函,CDD00015657220.pdf,SZSE
9,000752.SZSE,*ST西发,2020-05-11 00:00:00,年报问询函,CDD00075257216.pdf,SZSE
10,000587.SZSE,金洲慈航,2020-05-08 00:00:00,年报问询函,CDD00058757166.pdf,SZSE
11,000498.SZSE,山东路桥,2020-05-08 00:00:00,许可类重组问询函,CDD00049857208.pdf,SZSE
12,000525.SZSE,红 太 阳,2020-05-07 00:00:00,关注函,CDD00052557204.pdf,SZSE
13,000585.SZSE,*ST东电,2020-05-07 00:00:00,年报问询函,CDD00058557180.pdf,SZSE
14,000504.SZSE,*ST生物,2020-05-07 00:00:00,年报问询函,CDD00050457120.pdf,SZSE
15,000710.SZSE,贝瑞基因,2020-05-06 00:00:00,年报问询函,CDD00071057104.pdf,SZSE
16,000890.SZSE,*ST胜尔,2020-05-06 00:00:00,关注函,CDD00089057179.pdf,SZSE
17,000812.SZSE,陕西金叶,2020-05-05 00:00:00,关注函,CDD00081257137.pdf,SZSE
18,000820.SZSE,*ST节能,2020-04-30 00:00:00,关注函,CDD00082057150.pdf,SZSE
19,000687.SZSE,华讯方舟,2020-04-30 00:00:00,关注函,CDD00068757141.pdf,SZSE
20,000609.SZSE,中迪投资,2020-04-30 00:00:00,关注函,CDD00060957147.pdf,SZSE
21,000408.SZSE,藏格控股,2020-04-30 00:00:00,关注函,CDD00040857130.pdf,SZSE
22,000911.SZSE,*ST 南糖,2020-04-30 00:00:00,年报问询函,CDD00091157132.pdf,SZSE
23,000732.SZSE,泰禾集团,2020-04-30 00:00:00,关注函,CDD00073257133.pdf,SZSE
24,000615.SZSE,京汉股份,2020-04-30 00:00:00,关注函,CDD00061557135.pdf,SZSE
25,000616.SZSE,海航投资,2020-04-30 00:00:00,关注函,CDD00061657139.pdf,SZSE
26,000564.SZSE,供销大集,2020-04-30 00:00:00,关注函,CDD00056457138.pdf,SZSE
27,000802.SZSE,北京文化,2020-04-29 00:00:00,关注函,CDD00080257134.pdf,SZSE
