,stockcode,extGSJC,cmsOpDate,extWTFL,docTitle,docURL
0,600599,熊猫金控,2020-05-15 22:00:01,问询函,关于对熊猫金控股份有限公司拟非公开发行股票相关信息披露的问询函,8139058602427301.pdf
1,600360,华微电子,2020-05-15 21:30:01,定期报告信息披露监管问询函,关于吉林华微电子股份有限公司的定期报告信息披露监管问询函,8139058602425704.pdf
2,600856,*ST中天,2020-05-15 17:50:01,定期报告信息披露监管问询函,关于长春中天能源股份有限公司的定期报告信息披露监管问询函,8139058602380231.pdf
3,603669,灵康药业,2020-05-15 17:20:01,定期报告信息披露监管问询函,关于灵康药业集团股份有限公司的定期报告信息披露监管问询函,8139058602340906.pdf
4,600053,九鼎投资,2020-05-15 17:10:02,定期报告信息披露监管问询函,关于昆吾九鼎投资控股股份有限公司的定期报告信息披露监管问询函,8139058602253462.pdf
5,600311,*ST荣华,2020-05-15 17:10:02,定期报告信息披露监管问询函,关于甘肃荣华实业（集团）股份有限公司2019年年度报告的信息披露监管问询函,8139058602272877.pdf
6,600596,新安股份,2020-05-14 18:20:01,重大资产重组预案审核意见函,关于浙江新安化工集团股份有限公司的重大资产重组预案审核意见函,8139058602221288.pdf
7,600080,金花股份,2020-05-14 17:40:01,定期报告信息披露监管问询函,关于金花企业(集团)股份有限公司的定期报告信息披露监管问询函,8139058602198755.pdf
8,600986,科达股份,2020-05-14 17:20:27,定期报告信息披露监管问询函,关于科达集团股份有限公司的定期报告信息披露监管问询函,8139058602186075.pdf
9,600438,通威股份,2020-05-14 17:10:01,定期报告信息披露监管问询函,关于通威股份有限公司的2019年年度报告的信息披露监管问询函,8139058602124830.pdf
10,600763,通策医疗,2020-05-13 17:10:23,定期报告信息披露监管问询函,关于通策医疗股份有限公司的定期报告信息披露监管问询函,8139058602011446.pdf
11,600361,华联综超,2020-05-13 17:10:23,定期报告信息披露监管问询函,关于对北京华联综合超市股份有限公司2019年年度报告的信息披露监管问询函,8139058601990498.pdf
12,603991,至正股份,2020-05-13 17:10:23,定期报告信息披露监管问询函,关于上海至正道化高分子材料股份有限公司的定期报告信息披露监管问询函,8139058601943224.pdf
13,603895,天永智能,2020-05-12 21:20:01,定期报告信息披露监管问询函,关于上海天永智能装备股份有限公司的定期报告信息披露监管问询函,8139054048707016.pdf
14,600069,*ST银鸽,2020-05-12 19:20:01,问询函,关于河南银鸽实业投资股份有限公司2019年年度报告的信息披露监管问询函,8139054048686266.pdf
15,600077,宋都股份,2020-05-11 20:10:01,定期报告信息披露监管问询函,关于宋都基业投资股份有限公司的定期报告信息披露监管问询函,8139047596684091.pdf
16,600579,克劳斯,2020-05-11 19:40:01,定期报告信息披露监管问询函,关于克劳斯玛菲股份有限公司的定期报告信息披露监管问询函,8139047596679041.pdf
17,600226,瀚叶股份,2020-05-11 19:10:01,问询函,关于浙江瀚叶股份有限公司的问询函,8139047596673741.pdf
18,600867,通化东宝,2020-05-11 17:11:06,定期报告信息披露监管问询函,关于通化东宝药业股份有限公司2019年年度报告的信息披露监管问询函,8139033553173193.pdf
19,600844,丹化科技,2020-05-11 17:11:06,定期报告信息披露监管问询函,关于丹化化工科技股份有限公司的定期报告信息披露监管问询函,8139033553183348.pdf
20,600830,香溢融通,2020-05-11 17:11:06,定期报告信息披露监管问询函,关于香溢融通控股集团股份有限公司的定期报告信息披露监管问询函,8139033553131042.pdf
21,603329,上海雅仕,2020-05-11 17:11:06,定期报告信息披露监管问询函,关于上海雅仕投资发展股份有限公司2019年年度报告的信息披露监管问询函,8139033553130249.pdf
22,600687,*ST刚泰,2020-05-08 21:20:01,问询函,关于甘肃刚泰控股（集团）股份有限公司的问询函,8138972468774122.pdf
23,600856,ST中天,2020-05-08 18:20:30,问询函,关于长春中天能源股份有限公司的问询函,8138972468719325.pdf
24,600684,珠江实业,2020-05-08 17:20:01,定期报告信息披露监管问询函,关于广州珠江实业开发股份有限公司的定期报告信息披露监管问询函,8138972468577367.pdf
25,603306,华懋科技,2020-05-07 23:00:01,问询函,关于对华懋(厦门)新材料科技股份有限公司控制权变更有关事项的问询函,8138972468570848.pdf
26,603559,中通国脉,2020-05-07 22:40:02,问询函,关于中通国脉通信股份有限公司的问询函,8138972468570338.pdf
27,600370,三房巷,2020-05-07 18:30:01,定期报告信息披露监管问询函,关于江苏三房巷实业股份有限公司的定期报告信息披露监管问询函,8138972468542953.pdf
28,600594,益佰制药,2020-05-07 17:20:01,问询函,关于对贵州益佰制药股份有限公司有关募集资金永久补流事项的问询函,8138972468511349.pdf
29,601369,陕鼓动力,2020-05-06 17:10:42,定期报告信息披露监管问询函,关于西安陕鼓动力股份有限公司的定期报告信息披露监管问询函,8138972468279790.pdf
30,600172,黄河旋风,2020-05-06 17:10:42,定期报告信息披露监管问询函,关于河南黄河旋风股份有限公司2019年年度报告的信息披露监管问询函,8138972468229443.pdf
31,603578,三星新材,2020-04-30 17:10:01,定期报告信息披露监管问询函,关于浙江三星新材股份有限公司的定期报告信息披露监管问询函,8138937355271355.pdf
32,600634,*ST富控,2020-04-29 23:50:02,问询函,关于上海富控互动娱乐股份有限公司 的问询函,8138937355228527.pdf
33,600978,宜华生活,2020-04-29 22:50:01,问询函,关于宜华生活科技股份有限公司的问询函,8138937355207940.pdf
34,600804,鹏博士,2020-04-29 21:40:02,问询函,关于鹏博士电信传媒集团股份有限公司的问询函,8138937355174283.pdf
35,600145,*ST新亿,2020-04-29 20:00:02,问询函,关于新疆亿路万源实业投资控股股份有限公司的问询函,8138937355114155.pdf
36,600777,新潮能源,2020-04-28 22:30:02,定期报告信息披露监管问询函,关于山东新潮能源股份有限公司的2019年年度报告信息披露监管问询函,8138911384050620.pdf
37,600145,*ST新亿,2020-04-28 21:40:02,问询函,关于新疆亿路万源实业投资控股股份有限公司的问询函,8138911384033867.pdf
38,603699,纽威股份,2020-04-28 19:40:02,问询函,关于对苏州纽威阀门股份有限公司关联交易事项的问询函,8138911383959174.pdf
39,600712,南宁百货,2020-04-28 18:00:01,定期报告信息披露监管问询函,关于南宁百货大楼股份有限公司的定期报告信息披露监管问询函,8138911383844977.pdf
40,601218,吉鑫科技,2020-04-28 17:10:50,定期报告信息披露监管问询函,关于江苏吉鑫风能科技股份有限公司的定期报告信息披露监管问询函,8138911383609888.pdf
41,603032,德新交运,2020-04-27 20:20:01,重大资产重组预案审核意见函,关于德力西新疆交通运输集团股份有限公司的重大资产重组预案信息披露的问询函,8138911383527292.pdf
42,603203,快克股份,2020-04-27 17:10:01,问询函,关于对快克智能装备股份有限公司终止募集资金投资项目的问询函,8138911383313352.pdf
43,603009,北特科技,2020-04-24 19:40:01,问询函,关于上海北特科技股份有限公司业绩预亏事项问询函,8138850299870678.pdf
44,601717,郑煤机,2020-04-24 17:40:01,定期报告事后审核意见函,关于郑州煤矿机械集团股份有限公司的定期报告事后审核意见函,8138850299772195.pdf
45,600458,时代新材,2020-04-24 17:20:01,定期报告事后审核意见函,关于株洲时代新材料科技股份有限公司2019年年度报告的信息披露监管问询函,8138850299774695.pdf
46,600962,国投中鲁,2020-04-24 17:10:24,定期报告事后审核意见函,关于国投中鲁果汁股份有限公司的定期报告事后审核意见函,8138850299707157.pdf
47,600139,西部资源,2020-04-23 22:00:01,问询函,关于四川西部资源控股股份有限公司的问询函,8138850299629700.pdf
