,gsdm,gsjc,fhrq,hjlb,ck,hfck
0,000863,三湘印象,2020-05-15,年报问询函,CDD00086357225.pdf,
1,000622,恒立实业,2020-05-15,年报问询函,CDD00062257279.pdf,
2,000426,兴业矿业,2020-05-13,年报问询函,CDD00042657183.pdf,
3,000506,中润资源,2020-05-13,年报问询函,CDD00050657214.pdf,
4,000732,泰禾集团,2020-05-12,关注函,CDD00073257248.pdf,CDD000732572481776HF.pdf
5,000010,*ST美丽,2020-05-12,年报问询函,CDD00001057165.pdf,
6,000821,京山轻机,2020-05-12,年报问询函,CDD00082157198.pdf,
7,000586,汇源通信,2020-05-11,关注函,CDD00058657245.pdf,
8,000156,华数传媒,2020-05-11,许可类重组问询函,CDD00015657220.pdf,
9,000752,*ST西发,2020-05-11,年报问询函,CDD00075257216.pdf,
10,000587,金洲慈航,2020-05-08,年报问询函,CDD00058757166.pdf,
11,000498,山东路桥,2020-05-08,许可类重组问询函,CDD00049857208.pdf,
12,000525,红 太 阳,2020-05-07,关注函,CDD00052557204.pdf,
13,000585,*ST东电,2020-05-07,年报问询函,CDD00058557180.pdf,
14,000504,*ST生物,2020-05-07,年报问询函,CDD00050457120.pdf,
15,000710,贝瑞基因,2020-05-06,年报问询函,CDD00071057104.pdf,
16,000890,*ST胜尔,2020-05-06,关注函,CDD00089057179.pdf,
17,000812,陕西金叶,2020-05-05,关注函,CDD00081257137.pdf,CDD000812571371774HF.pdf
18,000820,*ST节能,2020-04-30,关注函,CDD00082057150.pdf,CDD000820571501765HF.pdf
19,000687,华讯方舟,2020-04-30,关注函,CDD00068757141.pdf,
20,000609,中迪投资,2020-04-30,关注函,CDD00060957147.pdf,CDD000609571471768HF.pdf
21,000408,藏格控股,2020-04-30,关注函,CDD00040857130.pdf,
22,000911,*ST 南糖,2020-04-30,年报问询函,CDD00091157132.pdf,
23,000732,泰禾集团,2020-04-30,关注函,CDD00073257133.pdf,CDD000732571331777HF.pdf
24,000615,京汉股份,2020-04-30,关注函,CDD00061557135.pdf,CDD000615571351773HF.pdf
25,000616,海航投资,2020-04-30,关注函,CDD00061657139.pdf,
26,000564,供销大集,2020-04-30,关注函,CDD00056457138.pdf,
27,000802,北京文化,2020-04-29,关注函,CDD00080257134.pdf,
28,000760,*ST斯太,2020-04-29,关注函,CDD00076057112.pdf,CDD000760571121769HF.pdf
29,000620,新华联,2020-04-29,关注函,CDD00062057117.pdf,CDD000620571171767HF.pdf
30,000662,天夏智慧,2020-04-28,关注函,CDD00066257110.pdf,
31,000806,ST银河,2020-04-27,关注函,CDD00080657092.pdf,CDD000806570921766HF.pdf
32,000751,锌业股份,2020-04-26,年报问询函,CDD00075157067.pdf,CDD000751570671771HF.pdf
33,000758,中色股份,2020-04-24,年报问询函,CDD00075857060.pdf,CDD000758570601770HF.pdf
34,000835,长城动漫,2020-04-24,关注函,CDD00083557073.pdf,CDD000835570731775HF.pdf
35,000055,方大集团,2020-04-22,关注函,CDD00005557056.pdf,CDD000055570561763HF.pdf
36,000723,美锦能源,2020-04-22,关注函,CDD00072357049.pdf,CDD000723570491764HF.pdf
37,000687,华讯方舟,2020-04-21,关注函,CDD00068757054.pdf,CDD000687570541762HF.pdf
38,000911,*ST 南糖,2020-04-19,年报问询函,CDD00091156990.pdf,
39,000666,经纬纺机,2020-04-16,年报问询函,CDD00066656906.pdf,CDD000666569061761HF.pdf
40,000760,*ST斯太,2020-04-15,关注函,CDD00076057002.pdf,
41,000700,模塑科技,2020-04-14,关注函,CDD00070056994.pdf,
42,000007,全新好,2020-04-14,关注函,CDD00000756962.pdf,CDD000007569621760HF.pdf
43,000662,天夏智慧,2020-04-14,关注函,CDD00066256973.pdf,
44,000818,航锦科技,2020-04-13,年报问询函,CDD00081856952.pdf,CDD000818569521757HF.pdf
45,000889,中嘉博创,2020-04-13,关注函,CDD00088956961.pdf,CDD000889569611753HF.pdf
46,000908,景峰医药,2020-04-10,关注函,CDD00090856948.pdf,CDD000908569481749HF.pdf
47,000903,云内动力,2020-04-09,关注函,CDD00090356931.pdf,CDD000903569311772HF.pdf
48,000687,华讯方舟,2020-04-09,关注函,CDD00068756930.pdf,CDD000687569301748HF.pdf
49,000488,晨鸣纸业,2020-04-08,年报问询函,CDD00048856924.pdf,CDD000488569241755HF.pdf
50,000572,*ST 海马,2020-04-08,年报问询函,CDD00057256921.pdf,
51,000409,ST地矿,2020-04-08,年报问询函,CDD00040956861.pdf,CDD000409568611758HF.pdf
52,000413,东旭光电,2020-04-07,关注函,CDD00041356920.pdf,CDD000413569201759HF.pdf
53,000698,沈阳化工,2020-04-07,关注函,CDD00069856925.pdf,CDD000698569251752HF.pdf
54,000737,ST南风,2020-04-07,年报问询函,CDD00073756916.pdf,CDD000737569161751HF.pdf
55,001896,豫能控股,2020-04-07,年报问询函,CDD00189656912.pdf,CDD001896569121754HF.pdf
56,000509,*ST华塑,2020-04-03,年报问询函,CDD00050956890.pdf,CDD000509568901756HF.pdf
57,000603,盛达资源,2020-04-03,年报问询函,CDD00060356869.pdf,CDD000603568691750HF.pdf
58,000868,*ST安凯,2020-04-02,年报问询函,CDD00086856881.pdf,
59,000862,银星能源,2020-03-31,年报问询函,CDD00086256812.pdf,CDD000862568121746HF.pdf
60,000661,长春高新,2020-03-27,关注函,CDD00066156848.pdf,CDD000661568481745HF.pdf
61,000571,*ST大洲,2020-03-26,关注函,CDD00057156816.pdf,CDD000571568161747HF.pdf
62,000897,*ST津滨,2020-03-25,年报问询函,CDD00089756801.pdf,
63,000525,红 太 阳,2020-03-24,关注函,CDD00052556811.pdf,CDD000525568111744HF.pdf
64,000150,宜华健康,2020-03-23,关注函,CDD00015056805.pdf,CDD000150568051741HF.pdf
65,000909,数源科技,2020-03-20,许可类重组问询函,CDD00090956798.pdf,CDD000909567981743HF.pdf
66,000603,盛达资源,2020-03-20,年报问询函,CDD00060356784.pdf,CDD000603567841742HF.pdf
67,000628,高新发展,2020-03-19,关注函,CDD00062856790.pdf,
68,000502,绿景控股,2020-03-17,许可类重组问询函,CDD00050256768.pdf,CDD000502567681738HF.pdf
69,000571,*ST大洲,2020-03-16,关注函,CDD00057156730.pdf,CDD000571567301739HF.pdf
70,000758,中色股份,2020-03-16,许可类重组问询函,CDD00075856756.pdf,CDD000758567561737HF.pdf
71,000150,宜华健康,2020-03-13,关注函,CDD00015056750.pdf,CDD000150567501735HF.pdf
72,000633,合金投资,2020-03-13,非许可类重组问询函,CDD00063356743.pdf,CDD000633567431736HF.pdf
73,000007,全新好,2020-03-12,关注函,CDD00000756739.pdf,CDD000007567391733HF.pdf
74,000691,亚太实业,2020-03-12,非许可类重组问询函,CDD00069156733.pdf,CDD000691567331740HF.pdf
75,000048,康达尔,2020-03-09,关注函,CDD00004856723.pdf,CDD000048567231730HF.pdf
76,000601,韶能股份,2020-03-04,关注函,CDD00060156700.pdf,CDD000601567001729HF.pdf
77,000982,*ST 中绒,2020-02-26,关注函,CDD00098256661.pdf,CDD000982566611727HF.pdf
78,000637,茂化实华,2020-02-25,关注函,CDD00063756657.pdf,CDD000637566571728HF.pdf
79,000016,深康佳Ａ,2020-02-23,关注函,CDD00001656653.pdf,CDD000016566531724HF.pdf
80,000038,深大通,2020-02-14,关注函,CDD00003856612.pdf,CDD000038566121723HF.pdf
81,000890,法 尔 胜,2020-02-11,非许可类重组问询函,CDD00089056603.pdf,CDD000890566031732HF.pdf
82,000662,天夏智慧,2020-02-05,关注函,CDD00066256584.pdf,
83,000676,智度股份,2020-02-05,关注函,CDD00067656582.pdf,CDD000676565821715HF.pdf
84,000697,炼石航空,2020-02-05,关注函,CDD00069756577.pdf,CDD000697565771720HF.pdf
85,000803,金宇车城,2020-02-05,许可类重组问询函,CDD00080356573.pdf,CDD000803565731721HF.pdf
86,000892,欢瑞世纪,2020-02-03,关注函,CDD00089256557.pdf,CDD000892565571717HF.pdf
87,000606,顺利办,2020-02-02,关注函,CDD00060656562.pdf,CDD000606565621719HF.pdf
88,000802,北京文化,2020-02-02,关注函,CDD00080256564.pdf,CDD000802565641718HF.pdf
89,000981,ST银亿,2020-02-01,关注函,CDD00098156561.pdf,CDD000981565611734HF.pdf
90,000687,华讯方舟,2020-01-22,关注函,CDD00068756544.pdf,CDD000687565441712HF.pdf
91,000409,ST地矿,2020-01-22,关注函,CDD00040956543.pdf,CDD000409565431710HF.pdf
92,000662,天夏智慧,2020-01-22,关注函,CDD00066256551.pdf,
93,000637,茂化实华,2020-01-22,关注函,CDD00063756505.pdf,
94,000818,航锦科技,2020-01-22,关注函,CDD00081856519.pdf,CDD000818565191708HF.pdf
95,000509,华塑控股,2020-01-22,关注函,CDD00050956531.pdf,CDD000509565311722HF.pdf
96,000758,中色股份,2020-01-22,关注函,CDD00075856540.pdf,CDD000758565401711HF.pdf
97,000980,众泰汽车,2020-01-22,关注函,CDD00098056521.pdf,CDD000980565211726HF.pdf
98,000701,厦门信达,2020-01-22,关注函,CDD00070156532.pdf,CDD000701565321713HF.pdf
99,000892,欢瑞世纪,2020-01-22,关注函,CDD00089256539.pdf,CDD000892565391716HF.pdf
100,000007,全新好,2020-01-17,关注函,CDD00000756504.pdf,CDD000007565041709HF.pdf
101,000662,天夏智慧,2020-01-16,关注函,CDD00066256502.pdf,
102,000662,天夏智慧,2020-01-15,关注函,CDD00066256492.pdf,CDD000662564921725HF.pdf
103,000040,东旭蓝天,2020-01-15,关注函,CDD00004056402.pdf,
104,000413,东旭光电,2020-01-15,关注函,CDD00041356406.pdf,
105,000792,*ST盐湖,2020-01-13,关注函,CDD00079256465.pdf,CDD000792564651700HF.pdf
106,000700,模塑科技,2020-01-09,关注函,CDD00070056458.pdf,
107,000611,*ST天首,2020-01-08,关注函,CDD00061156447.pdf,CDD000611564471702HF.pdf
108,000616,海航投资,2020-01-07,关注函,CDD00061656438.pdf,CDD000616564381707HF.pdf
109,000971,*ST高升,2020-01-06,关注函,CDD00097156428.pdf,CDD000971564281703HF.pdf
110,000587,金洲慈航,2020-01-06,关注函,CDD00058756430.pdf,CDD000587564301699HF.pdf
111,000760,*ST斯太,2020-01-05,关注函,CDD00076056419.pdf,CDD000760564191701HF.pdf
112,000571,*ST大洲,2020-01-03,关注函,CDD00057156401.pdf,CDD000571564011731HF.pdf
113,000918,嘉凯城,2019-12-31,关注函,CDD00091856377.pdf,CDD000918563771695HF.pdf
114,000426,兴业矿业,2019-12-30,关注函,CDD00042656376.pdf,CDD000426563761696HF.pdf
115,000536,华映科技,2019-12-30,关注函,CDD00053656375.pdf,CDD000536563751705HF.pdf
116,000576,广东甘化,2019-12-29,关注函,CDD00057656371.pdf,CDD000576563711698HF.pdf
117,000829,天音控股,2019-12-26,关注函,CDD00082956369.pdf,CDD000829563691689HF.pdf
118,000422,ST宜化,2019-12-26,关注函,CDD00042256349.pdf,CDD000422563491691HF.pdf
119,000707,ST双环,2019-12-26,关注函,CDD00070756354.pdf,CDD000707563541690HF.pdf
120,000955,欣龙控股,2019-12-26,关注函,CDD00095556347.pdf,CDD000955563471694HF.pdf
121,000803,金宇车城,2019-12-25,关注函,CDD00080356360.pdf,CDD000803563601693HF.pdf
122,000620,新华联,2019-12-25,问询函,CDD00062056350.pdf,CDD000620563501692HF.pdf
123,000506,中润资源,2019-12-24,关注函,CDD00050656327.pdf,CDD000506563271697HF.pdf
124,001979,招商蛇口,2019-12-24,非许可类重组问询函,CDD00197956339.pdf,CDD001979563391684HF.pdf
125,000911,*ST 南糖,2019-12-22,关注函,CDD00091156332.pdf,CDD000911563321682HF.pdf
126,000564,供销大集,2019-12-20,关注函,CDD00056456330.pdf,CDD000564563301687HF.pdf
127,000663,永安林业,2019-12-20,关注函,CDD00066356331.pdf,CDD000663563311681HF.pdf
128,000981,ST银亿,2019-12-19,关注函,CDD00098156299.pdf,CDD000981562991714HF.pdf
129,000937,冀中能源,2019-12-18,关注函,CDD00093756308.pdf,CDD000937563081680HF.pdf
130,000422,ST宜化,2019-12-18,关注函,CDD00042256306.pdf,CDD000422563061679HF.pdf
131,000068,华控赛格,2019-12-17,关注函,CDD00006856302.pdf,CDD000068563021676HF.pdf
132,000996,中国中期,2019-12-17,关注函,CDD00099656301.pdf,CDD000996563011685HF.pdf
133,000426,兴业矿业,2019-12-17,关注函,CDD00042656292.pdf,CDD000426562921675HF.pdf
134,000518,四环生物,2019-12-16,关注函,CDD00051856288.pdf,CDD000518562881678HF.pdf
135,000007,全新好,2019-12-15,关注函,CDD00000756284.pdf,CDD000007562841672HF.pdf
136,000962,东方钽业,2019-12-15,关注函,CDD00096256285.pdf,CDD000962562851673HF.pdf
137,000690,宝新能源,2019-12-13,关注函,CDD00069056273.pdf,CDD000690562731674HF.pdf
138,000707,ST双环,2019-12-13,关注函,CDD00070756277.pdf,CDD000707562771670HF.pdf
