security,reason,comments
300269.SZSE, 财务造假,联建光电
600267.SSE, 财务造假,海正药业
600598.SSE, 财务造假,北大荒
002763.SZSE, 董事长内幕交易，监管部门公开谴责,汇洁股份
300117.SZSE, 财务造假，监管部门公开谴责,嘉寓股份
601519.SSE, 利润跨期调整,大智慧
000691.SZSE, 虚增收入,亚太实业
000922.SZSE, 财务造假,佳电股份
601777.SSE, 虚增利润，大股东质押85%，主业亏损，2017年利润由房地产价值变动支撑,力帆股份
002574.SZSE, 跨行业并购失败，毛利润很低,明牌珠宝
300267.SZSE, 财务造假,尔康制药
000636.SZSE, 财务造假，立案调查,风华高科
300056.SZSE, 财务猫腻，年报无法表示意见,三维丝
300043.SZSE, 乱搞并购，虚增利润,星辉娱乐
601808.SSE, 16年大幅资产减值，净利暴跌114亿，现金流持续下滑,中海油服
000933.SZSE, 16年大幅资产减值，净利暴跌10亿,神火股份
600397.SSE, 16年大幅资产减值，净利暴跌20亿,安源煤业
601106.SSE, 16年大幅资产减值，净利暴跌57亿,st一重
600121.SSE, 16年大幅资产减值，净利暴跌5亿,郑州煤电
601558.SSE, 寅吃卯粮，提前确认收入，16年大幅资产减值，净利暴跌24亿,华锐风电
002180.SZSE, 16年跨国并购，年年并购巨额商誉,纳思达
002181.SZSE, 并购对象造假破产,粤传媒
600165.SSE, 经营现金流持续为负，并购不利，商誉巨额减值,新日恒力
002312.SZSE, 并购不利，商誉巨额减值，现金流持续为负，苟延残喘,三泰控股
600594.SSE, 商誉虚值该减不减,益佰制药
603169.SSE, 无优质资产，经营现金流非常差，靠融资续命,兰石重装
002333.SZSE, 铝型材的生产销售，行业竞争加剧，上市八年主营无增长，连续三年扣非净利润亏损，经营现金流持续为负,罗普金斯
300362.SZSE, 近年负债率持续攀升，高负债经营，亏损严重，现金流严重不足，控股股东存在非经营性资金占用，到期债务未能偿还,天翔环境
002464.SZSE, 商誉占比总资产超60%,众应互联
002759.SZSE, 商誉占比总资产超60%,天际股份
002188.SZSE, 商誉占比总资产超60%,巴士在线
000971.SZSE, 商誉占比总资产超60%，大股东全部质押，质押套现20亿用于偿还债务,高升控股
002354.SZSE, 商誉66亿，占比总资产超60%，现金流很差,天神娱乐
600721.SSE, 商誉占比总资产超60%,百花村
002247.SZSE, 商誉占比总资产超60%,帝龙文化
002113.SZSE, 商誉占比总资产超60%,天润数娱
000662.SZSE, 商誉占比总资产超60%,天夏智慧
002619.SZSE, 商誉占比总资产超60%,艾格拉斯
300143.SZSE, 商誉占比总资产超60%,星普医科
300299.SZSE, 商誉占比总资产超60%,富春股份
600242.SSE, 商誉占比总资产超60%,中昌数据
000976.SZSE, 商誉占比总资产超60%,华铁股份
000526.SZSE, 商誉占比净资产超100%,st紫学
002072.SZSE, 商誉占比净资产超100%,凯瑞德
000835.SZSE, 商誉占比净资产超100%,长城动漫
600898.SSE, 商誉占比净资产超100%,国美通讯
600682.SSE, 商誉占比净资产超100%,南京新百
002071.SZSE, 商誉占比净资产超100%,长城影视
002647.SZSE, 商誉占比净资产超100%,仁东控股
002437.SZSE, 商誉占比净资产超100%，36亿减值风险，控股股东质押爆仓，十大股东一半信托，研发人数下降，研发资本化率上升,誉衡药业
000697.SZSE, 商誉占比净资产超100%,炼石有色
603518.SSE, 商誉占比净资产超100%,维格娜丝
002384.SZSE, 商誉不断增大，利润不断下滑,东山精密
600525.SSE, 商誉不断增大，利润不断下滑,长园集团
600011.SSE, 商誉不断增大，利润不断下滑,华能国际
002102.SZSE, 商誉不断增大，利润不断下滑，隐瞒高利贷，关联担保输送利益，减持套现9亿，上市第四年开始扣非净利润连续7年为负，以转型为主业,冠福股份
600751.SSE, 商誉在增加，大股东减持5%以上,海航科技
600699.SSE, 商誉在增加，大股东减持5%以上,均胜电子
600094.SSE, 商誉在增加，大股东减持5%以上,大名城
300148.SZSE, 商誉在增加，大股东减持5%以上,天舟文化
600157.SSE, 商誉在增加，大股东减持5%以上,永泰能源
002434.SZSE, 商誉在增加，大股东减持5%以上,万里扬
300008.SZSE, 商誉在增加，大股东减持5%以上,天海防务
600654.SSE, 商誉在增加，大股东减持5%以上,st中安
002491.SZSE, 商誉在增加，大股东减持5%以上,通鼎互联
002342.SZSE, 各种减持，业绩下滑,巨力索具
300702.SZSE, 欧洲药管局称生产的药物含有致癌物,天宇股份
600074.SSE, 财务造假，现金流一直为负,保千里
002490.SZSE, 套路减持，财务造假，监管处罚,山东墨龙
000798.SZSE, 并购猫腻，巨额亏损,中水渔业
600710.SSE, 主业亏损，财务猫腻,苏美达
600812.SSE, 主业亏损，财务猫腻,华北制药
300255.SZSE, 大股东套路减持,常山药业
300072.SZSE, 财务有问题，经营现金流为负,三聚环保
300137.SZSE, 管理混乱，临汾环保事件，3500万收购零收入公司涉嫌利益输送,先河环保
000042.SZSE, 会计变更，利润虚增，大股东全部质押,中洲控股
601717.SSE, 13年会计变更，调整应收账款计提比例，虚增利润,郑煤机
600532.SSE, 信托扎堆,宏达矿业
600654.SSE, 提前变更计提比例，为16年储备大的净利润,中安消
000898.SZSE, 调整固定资产折旧，虚增利润几十亿,鞍钢股份
600010.SSE, 调整固定资产折旧，虚增利润几十亿,包钢股份
600804.SSE, 业绩增长疲软，大幅调减折旧，高管半年内集体减持,鹏博士
600983.SSE, 重大会计差错，高管频繁调整,惠而浦
002715.SZSE, 财务造假，监管处罚,登云股份
300208.SZSE, 财务造假，金额巨大，监管处罚,恒顺众昇
300431.SZSE, 公司经营持续失血，极度困难,暴风集团
600418.SSE, 有雷,江淮汽车
002113.SZSE, 重组有猫腻，进展逾期被监管通报,天润数娱
002384.SZSE, 和暴风关联很大，巨额应收款,东山精密
002426.SZSE, 牛猫有过预警,胜利精密
002684.SZSE, 主业持续下滑，信托贷款违约，反复业绩修正，控股股东全部质押，控股股东资不抵债，所持股份被轮候冻结；,猛狮科技
002667.SZSE, 地处辽宁，虚增收入，忽悠式重组,鞍重股份
600250.SSE, 南京国企，出口退税，虚增利润,南纺股份
600807.SSE, 无法审计，立案调查，质押违约，担保违规，借款纠纷,天业股份
002306.SZSE, 违规确认收入,中科云网
600281.SSE, 山西国企，虚构贸易，虚增收入，年年亏损,太化股份
002569.SZSE, 虚构银行存款，虚增资产,步森股份
600155.SSE, 虚减银行存款，账外账,华创阳安
600598.SSE, 阴阳合同，存货跌价巨额计提,北大荒
600076.SSE, 虚减所有者权益，关联交易,康欣新材
