,_id,stock_identity,trade_date,amount,change,close,high,low,open,pct_chg,pre_close,ts_code,vol
0,5e92c5d0d1add8fec462e509,000001.SSE,1990-12-19,494.311,-0.02,99.98,99.98,95.79,96.05,-0.02,100.0,000001.SH,1260.0
1,5e92c5d0d1add8fec462e508,000001.SSE,1990-12-20,84.992,4.41,104.39,104.39,99.98,104.3,4.4109,99.98,000001.SH,197.0
2,5e92c5d0d1add8fec462e507,000001.SSE,1990-12-21,16.096,4.74,109.13,109.13,103.73,109.07,4.5407,104.39,000001.SH,28.0
3,5e92c5d0d1add8fec462e506,000001.SSE,1990-12-24,31.063,5.42,114.55,114.55,109.13,113.57,4.9666,109.13,000001.SH,32.0
4,5e92c5d0d1add8fec462e505,000001.SSE,1990-12-25,6.51,5.7,120.25,120.25,114.55,120.09,4.976,114.55,000001.SH,15.0
5,5e92c5d0d1add8fec462e504,000001.SSE,1990-12-26,53.73,5.02,125.27,125.27,120.25,125.27,4.1746,120.25,000001.SH,100.0
6,5e92c5d0d1add8fec462e503,000001.SSE,1990-12-27,104.644,0.01,125.28,125.28,125.27,125.27,0.008,125.27,000001.SH,66.0
7,5e92c5d0d1add8fec462e502,000001.SSE,1990-12-28,88.031,1.17,126.45,126.45,125.28,126.39,0.9339,125.28,000001.SH,108.0
8,5e92c5d0d1add8fec462e501,000001.SSE,1990-12-31,60.03,1.16,127.61,127.61,126.48,126.56,0.9174,126.45,000001.SH,78.0
9,5e92c5d0d1add8fec462e500,000001.SSE,1991-01-02,59.098,1.23,128.84,128.84,127.61,127.61,0.9639,127.61,000001.SH,91.0
10,5e92c5d0d1add8fec462e4ff,000001.SSE,1991-01-03,93.918,1.3,130.14,130.14,128.84,128.84,1.009,128.84,000001.SH,141.0
11,5e92c5d0d1add8fec462e4fe,000001.SSE,1991-01-04,261.904,1.3,131.44,131.44,130.14,131.27,0.9989,130.14,000001.SH,420.0
12,5e92c5d0d1add8fec462e4fd,000001.SSE,1991-01-07,141.737,0.62,132.06,132.06,131.45,131.99,0.4717,131.44,000001.SH,217.0
13,5e92c5d0d1add8fec462e4fc,000001.SSE,1991-01-08,1806.867,0.62,132.68,132.68,132.06,132.62,0.4695,132.06,000001.SH,2926.0
14,5e92c5d0d1add8fec462e4fb,000001.SSE,1991-01-09,3228.719,0.66,133.34,133.34,132.68,133.3,0.4974,132.68,000001.SH,5603.0
15,5e92c5d0d1add8fec462e4fa,000001.SSE,1991-01-10,5399.457,0.63,133.97,133.97,133.34,133.93,0.4725,133.34,000001.SH,9990.0
16,5e92c5d0d1add8fec462e4f9,000001.SSE,1991-01-11,7115.732,0.63,134.6,134.61,134.51,134.61,0.4703,133.97,000001.SH,13327.0
17,5e92c5d0d1add8fec462e4f8,000001.SSE,1991-01-14,6883.604,0.07,134.67,135.19,134.11,134.11,0.052,134.6,000001.SH,12530.0
18,5e92c5d0d1add8fec462e4f7,000001.SSE,1991-01-15,1010.364,0.07,134.74,134.74,134.19,134.21,0.052,134.67,000001.SH,1446.0
19,5e92c5d0d1add8fec462e4f6,000001.SSE,1991-01-16,270.133,-0.5,134.24,134.74,134.14,134.19,-0.3711,134.74,000001.SH,509.0
20,5e92c5d0d1add8fec462e4f5,000001.SSE,1991-01-17,334.238,0.01,134.25,134.25,133.65,133.67,0.0074,134.24,000001.SH,658.0
21,5e92c5d0d1add8fec462e4f4,000001.SSE,1991-01-18,1570.833,-0.01,134.24,134.25,133.67,133.7,-0.0074,134.25,000001.SH,3004.0
22,5e92c5d0d1add8fec462e4f3,000001.SSE,1991-01-21,1029.305,0.0,134.24,134.24,133.66,133.7,0.0,134.24,000001.SH,2051.0
23,5e92c5d0d1add8fec462e4f2,000001.SSE,1991-01-22,180.787,-0.52,133.72,134.24,133.66,133.72,-0.3874,134.24,000001.SH,354.0
24,5e92c5d0d1add8fec462e4f1,000001.SSE,1991-01-23,575.928,-0.55,133.17,133.72,133.14,133.17,-0.4113,133.72,000001.SH,1095.0
25,5e92c5d0d1add8fec462e4f0,000001.SSE,1991-01-24,917.392,-0.56,132.61,133.17,132.57,132.61,-0.4205,133.17,000001.SH,1857.0
26,5e92c5d0d1add8fec462e4ef,000001.SSE,1991-01-25,1722.246,-0.56,132.05,132.07,132.03,132.05,-0.4223,132.61,000001.SH,3447.0
27,5e92c5d0d1add8fec462e4ee,000001.SSE,1991-01-28,2565.573,-0.59,131.46,131.55,131.46,131.46,-0.4468,132.05,000001.SH,5107.0
28,5e92c5d0d1add8fec462e4ed,000001.SSE,1991-01-29,710.741,-0.51,130.95,130.97,130.95,130.95,-0.388,131.46,000001.SH,1387.0
29,5e92c5d0d1add8fec462e4ec,000001.SSE,1991-01-30,260.701,-0.51,130.44,130.95,130.41,130.44,-0.3895,130.95,000001.SH,527.0
30,5e92c5d0d1add8fec462e4eb,000001.SSE,1991-01-31,244.662,-0.47,129.97,130.46,129.93,129.93,-0.3603,130.44,000001.SH,510.0
31,5e92c5d0d1add8fec462e4ea,000001.SSE,1991-02-01,140.871,-0.46,129.51,129.97,129.45,129.5,-0.3539,129.97,000001.SH,345.0
32,5e92c5d0d1add8fec462e4e9,000001.SSE,1991-02-04,273.652,-0.46,129.05,129.58,129.05,129.05,-0.3552,129.51,000001.SH,553.0
33,5e92c5d0d1add8fec462e4e8,000001.SSE,1991-02-05,4250.084,-0.47,128.58,128.58,128.53,128.56,-0.3642,129.05,000001.SH,8562.0
34,5e92c5d0d1add8fec462e4e7,000001.SSE,1991-02-06,3847.268,0.56,129.14,129.15,128.06,129.13,0.4355,128.58,000001.SH,6641.0
35,5e92c5d0d1add8fec462e4e6,000001.SSE,1991-02-07,1504.814,0.65,129.79,129.79,129.14,129.74,0.5033,129.14,000001.SH,2133.0
36,5e92c5d0d1add8fec462e4e5,000001.SSE,1991-02-08,879.868,0.59,130.38,130.39,129.79,130.36,0.4546,129.79,000001.SH,1234.0
37,5e92c5d0d1add8fec462e4e4,000001.SSE,1991-02-11,4834.876,0.59,130.97,130.97,130.39,130.92,0.4525,130.38,000001.SH,9317.0
38,5e92c5d0d1add8fec462e4e3,000001.SSE,1991-02-12,1986.983,0.38,131.35,131.56,130.97,131.54,0.2901,130.97,000001.SH,3774.0
39,5e92c5d0d1add8fec462e4e2,000001.SSE,1991-02-13,673.738,0.57,131.92,131.93,131.35,131.93,0.434,131.35,000001.SH,1152.0
40,5e92c5d0d1add8fec462e4e1,000001.SSE,1991-02-14,1883.072,0.61,132.53,132.53,132.3,132.53,0.4624,131.92,000001.SH,3624.0
41,5e92c5d0d1add8fec462e4e0,000001.SSE,1991-02-19,1216.176,0.6,133.13,133.14,133.08,133.12,0.4527,132.53,000001.SH,1748.0
42,5e92c5d0d1add8fec462e4df,000001.SSE,1991-02-20,520.724,0.54,133.67,133.67,133.13,133.63,0.4056,133.13,000001.SH,876.0
43,5e92c5d0d1add8fec462e4de,000001.SSE,1991-02-21,1771.726,0.61,134.28,134.28,133.67,134.24,0.4563,133.67,000001.SH,3220.0
44,5e92c5d0d1add8fec462e4dd,000001.SSE,1991-02-22,2003.776,0.59,134.87,134.87,134.28,134.85,0.4394,134.28,000001.SH,3427.0
