,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,600000.SH,20191030,20191030,20190930,2,1,,,,,267320000000.0,,,,,,,229143000000.0,,18907000000.0,,9614000000.0,634953000000.0,,16616000000.0,22815000000.0,336134000000.0,,,97131000000.0,,73736000000.0,702402000000.0,-67449000000.0,1944000000.0,1111963000000.0,50751000000.0,,,1164658000000.0,5601000000.0,1151808000000.0,,,,1157409000000.0,7249000000.0,891262000000.0,,,921258000000.0,,,34127000000.0,,,898506000000.0,22752000000.0,2310000000.0,-35138000000.0,187644000000.0,152506000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,600000.SH,20191030,20191030,20190930,2,1,,,,,267320000000.0,,,,,,,229143000000.0,,18907000000.0,,9614000000.0,634953000000.0,,16616000000.0,22815000000.0,336134000000.0,,,97131000000.0,,73736000000.0,702402000000.0,-67449000000.0,1944000000.0,1111963000000.0,50751000000.0,,,1164658000000.0,5601000000.0,1151808000000.0,,,,1157409000000.0,7249000000.0,,,,921258000000.0,,,34127000000.0,,,898506000000.0,22752000000.0,2310000000.0,-35138000000.0,187644000000.0,152506000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,600000.SH,20190824,20190824,20190630,2,1,32411000000.0,,,,188501000000.0,,,,,,,141056000000.0,,79734000000.0,,15228000000.0,445050000000.0,,12018000000.0,16595000000.0,199644000000.0,,,61163000000.0,,41509000000.0,436218000000.0,8832000000.0,13000000.0,1308990000000.0,39245000000.0,,,1348248000000.0,3270000000.0,1460257000000.0,,,,1463527000000.0,-115279000000.0,,,,562417000000.0,,509472000000.0,24186000000.0,,,533658000000.0,28759000000.0,88000000.0,-77600000000.0,187644000000.0,110044000000.0,,,,3000000.0,,,,,,-5000000.0,,-886000000.0,-6809000000.0,-470000000.0,-4000000.0,,-240484000000.0,202237000000.0,,8832000000.0,,,,110044000000.0,187644000000.0,,,-77600000000.0
3,600000.SH,20190824,20190824,20190630,2,1,32411000000.0,,,,188501000000.0,,,,,,,141056000000.0,,79734000000.0,,15228000000.0,445050000000.0,,12018000000.0,16595000000.0,199644000000.0,,,61163000000.0,,41509000000.0,436218000000.0,8832000000.0,13000000.0,1308990000000.0,39245000000.0,,,1348248000000.0,3270000000.0,1460257000000.0,,,,1463527000000.0,-115279000000.0,,562417000000.0,,562417000000.0,99157869747.2395,509472000000.0,24186000000.0,,,533658000000.0,28759000000.0,88000000.0,-77600000000.0,187644000000.0,110044000000.0,,,,3000000.0,,,,,,-5000000.0,,-886000000.0,-6809000000.0,-470000000.0,-4000000.0,,-240484000000.0,202237000000.0,,8832000000.0,,,,110044000000.0,187644000000.0,,,-77600000000.0
4,600000.SH,20190430,20190430,20190331,2,1,,,,,331167000000.0,,,,,,,69898000000.0,,,,6380000000.0,425904000000.0,,7142000000.0,6386000000.0,82920000000.0,4327000000.0,,29845000000.0,,47032000000.0,240471000000.0,185433000000.0,,350872000000.0,15211000000.0,17000000.0,,366100000000.0,650000000.0,543365000000.0,,,,544015000000.0,-177915000000.0,,,,273355000000.0,,,8107000000.0,,,322795000000.0,-49440000000.0,-1933000000.0,-43855000000.0,187644000000.0,143789000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600000.SH,20190326,20190326,20181231,2,1,56515000000.0,,,,,35353000000.0,,,,,,255903000000.0,,9307000000.0,,41424000000.0,431800000000.0,,22382000000.0,30105000000.0,411136000000.0,,,130413000000.0,,11460000000.0,770160000000.0,-338360000000.0,88000000.0,1673028000000.0,76363000000.0,,,1749479000000.0,5934000000.0,1485656000000.0,,,,1491590000000.0,257889000000.0,,1288077000000.0,,1288876000000.0,505534522271.92,1137019000000.0,33954000000.0,,,1170973000000.0,117903000000.0,2754000000.0,40186000000.0,147458000000.0,187644000000.0,799000000.0,799000000.0,,3000000.0,1964000000.0,762000000.0,600000000.0,,,-33000000.0,,-798000000.0,-11521000000.0,-4881000000.0,-37000000.0,,-589837000000.0,191286000000.0,,-338360000000.0,,,,187644000000.0,147458000000.0,,,40186000000.0
6,600000.SH,20190326,20190326,20181231,2,1,56515000000.0,,,,,35353000000.0,,,,,,255903000000.0,,9307000000.0,,41424000000.0,431800000000.0,,22382000000.0,30105000000.0,411136000000.0,,,130413000000.0,,11460000000.0,770160000000.0,-338360000000.0,88000000.0,1673028000000.0,76363000000.0,,,1749479000000.0,5934000000.0,1485656000000.0,,,,1491590000000.0,257889000000.0,,,,1288876000000.0,,1137019000000.0,33954000000.0,,,1170973000000.0,117903000000.0,2754000000.0,40186000000.0,147458000000.0,187644000000.0,799000000.0,799000000.0,,3000000.0,1964000000.0,762000000.0,600000000.0,,,-33000000.0,,-798000000.0,-11521000000.0,-4881000000.0,-37000000.0,,-589837000000.0,191286000000.0,,-338360000000.0,,,,187644000000.0,147458000000.0,,,40186000000.0
7,600000.SH,20181031,20181031,20180930,2,1,,,,,,60333000000.0,,,,,,190412000000.0,,,,56828000000.0,377609000000.0,,15413000000.0,22552000000.0,310474000000.0,,,99734000000.0,,51397000000.0,739688000000.0,-362079000000.0,153000000.0,3656660000000.0,65476000000.0,,,3722289000000.0,3373000000.0,3328378000000.0,,,,3331751000000.0,390538000000.0,,1087343000000.0,,1088142000000.0,,1028049000000.0,26026000000.0,,,1054075000000.0,34067000000.0,2803000000.0,65329000000.0,147458000000.0,212787000000.0,799000000.0,799000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,600000.SH,20180830,20180830,20180630,2,1,28900000000.0,,,,1189000000.0,9228000000.0,,,,,,124277000000.0,,,,55384000000.0,259633000000.0,,9859000000.0,16562000000.0,182007000000.0,,,67096000000.0,,19215000000.0,377728000000.0,-118095000000.0,9000000.0,2812152000000.0,44791000000.0,,,2856952000000.0,2259000000.0,2672525000000.0,,,,2674784000000.0,182168000000.0,,674615000000.0,,675414000000.0,193281960012.88,709893000000.0,15301000000.0,,,725194000000.0,-49780000000.0,556000000.0,14849000000.0,147458000000.0,162307000000.0,799000000.0,799000000.0,,26929000000.0,928000000.0,247000000.0,316000000.0,,,3000000.0,,-7234000000.0,-7742000000.0,3413000000.0,-23000000.0,,-105440000000.0,-36704000000.0,,-118095000000.0,,,,162307000000.0,147458000000.0,,,14849000000.0
9,600000.SH,20180428,20180428,20180331,2,1,,,,,,21874000000.0,-47108000000.0,,,,,61893000000.0,,,,43377000000.0,98354000000.0,,5540000000.0,6765000000.0,62761000000.0,,,30277000000.0,,17408000000.0,147079000000.0,-48725000000.0,34000000.0,972298000000.0,19161000000.0,,,991493000000.0,1678000000.0,874312000000.0,,,,875990000000.0,115503000000.0,,,,258051000000.0,,293873000000.0,8575000000.0,,,302448000000.0,-44397000000.0,-761000000.0,21620000000.0,147458000000.0,169078000000.0,799000000.0,799000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
