,ts_code,name,start_date,end_date,ann_date,change_reason
0,600732.SH,ST爱旭,20191227,,20191224,改名
1,600060.SH,海信视像,20191226,,20191221,改名
2,600290.SH,ST华仪,20191226,,20191225,ST
3,000785.SZ,居然之家,20191226,,20191226,改名
4,000796.SZ,凯撒旅业,20191225,,20191225,改名
5,600423.SH,ST柳化,20191220,,20191219,摘星
6,300470.SZ,中密控股,20191217,,20191217,改名
7,000043.SZ,招商积余,20191216,,20191206,改名
8,001914.SZ,招商积余,20191216,,20191206,改名
9,002459.SZ,晶澳科技,20191213,,20191213,改名
10,600240.SH,退市华业,20191212,,20191205,终止上市
11,002323.SZ,ST百特,20191204,,20191203,摘星
12,300786.SZ,国林科技,20191127,,20191127,其他
13,000018.SZ,神城A退,20191125,,20191116,终止上市
14,603779.SH,ST威龙,20191125,,20191122,ST
15,600266.SH,城建发展,20191122,,20191119,改名
16,000403.SZ,双林生物,20191119,,20191119,改名
17,603810.SH,丰山集团,20191114,,20191113,撤销ST
18,300425.SZ,中建环能,20191107,,20191107,改名
19,600319.SH,ST亚星,20191104,,20191101,ST
20,000603.SZ,盛达资源,20191029,,20191029,改名
21,300635.SZ,中达安,20191029,,20191029,改名
22,600747.SH,退市大控,20191028,,20191019,终止上市
23,000793.SZ,华闻集团,20191025,,20191025,其他
24,300434.SZ,金石亚药,20191025,,20191025,改名
25,002143.SZ,退市印记,20191018,,20191011,终止上市
26,002143.SZ,印纪退,20191018,,20191011,终止上市
27,002435.SZ,长江健康,20191018,,20191018,改名
28,000975.SZ,银泰黄金,20191017,,20191017,改名
29,002680.SZ,长生退（退市）,20191016,,20191009,终止上市
30,002680.SZ,长生退,20191016,,20191009,终止上市
31,000048.SZ,康达尔,20191015,,20191014,撤销*ST
32,002398.SZ,垒知集团,20191015,,20191015,改名
33,000708.SZ,中信特钢,20191011,,20191011,改名
34,002716.SZ,ST金贵,20191009,,20191008,ST
35,601113.SH,ST华鼎,20191009,,20191008,ST
36,000893.SZ,东凌国际,20191008,,20190930,撤销*ST
37,300103.SZ,达刚控股,20191008,,20191001,改名
38,002423.SZ,中粮资本,20191008,,20191008,改名
39,600615.SH,丰华股份,20190930,,20190927,撤销ST
40,603300.SH,华铁应急,20190926,,20190924,改名
41,000409.SZ,ST地矿,20190926,,20190925,摘星
42,600877.SH,*ST电能,20190925,,20190920,改名
43,000930.SZ,中粮科技,20190925,,20190925,改名
44,600579.SH,克劳斯,20190919,,20190913,改名
45,002018.SZ,华信退,20190912,,20190905,终止上市
46,600575.SH,淮河能源,20190911,,20190906,改名
47,601258.SH,*ST庞大,20190909,,20190906,*ST
48,601258.SH,*ST庞大,20190906,,20190906,*ST
49,600754.SH,锦江酒店,20190905,,20190831,改名
50,600781.SH,ST辅仁,20190903,,20190831,ST
51,603220.SH,中贝通信,20190830,,20190827,改名
52,002605.SZ,姚记科技,20190828,,20190828,改名
53,002477.SZ,雏鹰退,20190827,,20190820,终止上市
54,600502.SH,安徽建工,20190826,,20190821,改名
55,000585.SZ,ST东电,20190821,,20190820,摘星
56,000410.SZ,*ST沈机,20190820,,20190819,*ST
57,002756.SZ,永兴材料,20190819,,20190819,改名
58,603536.SH,惠发食品,20190816,,20190810,其他
59,002194.SZ,武汉凡谷,20190815,,20190814,撤销*ST
60,002501.SZ,*ST利源,20190814,,20190814,ST
61,603188.SH,ST亚邦,20190813,,20190810,ST
62,600856.SH,ST中天,20190812,,20190809,ST
63,002306.SZ,ST云网,20190801,,20190731,摘星
64,002502.SZ,鼎龙文化,20190718,,20190718,改名
65,300143.SZ,盈康生命,20190717,,20190717,改名
66,603810.SH,ST丰山,20190716,20191113,20190715,ST
67,600223.SH,鲁商发展,20190712,,20190709,改名
68,000816.SZ,ST慧业,20190710,,20190709,摘星
69,000826.SZ,启迪环境,20190710,,20190710,改名
70,300343.SZ,联创股份,20190708,,20190706,改名
71,000510.SZ,新金路,20190705,,20190705,改名
72,000779.SZ,甘咨询,20190703,,20190703,改名
73,600378.SH,昊华科技,20190701,,20190626,改名
